Name,Item ID,CMS ID
'Abda,6875c0167ed36ffe8d268e8a,6875c0167ed36ffe8d268e8a
'Abud,6875c008f3011fac4bec1c52,6875c008f3011fac4bec1c52
'Abwein,6875c009eaaf13e443d8b9f7,6875c009eaaf13e443d8b9f7
'Ajjul,6875c0085afff353f253090f,6875c0085afff353f253090f
'Anabta,6875c01c37f537985230094c,6875c01c37f537985230094c
'Anata,6875c02461e9dc30f02d63f0,6875c02461e9dc30f02d63f0
'Anin,6875bffa61e9dc30f02d56b3,6875bffa61e9dc30f02d56b3
'Arrana,6875c01b5c8b185ca599162d,6875c01b5c8b185ca599162d
'Arura,6875c00946e5fdeb856017b1,6875c00946e5fdeb856017b1
'Asira al Qibliya,6875c002bef5333665fa80cb,6875c002bef5333665fa80cb
'Attil,6875c01c68f5dcdae4be7a69,6875c01c68f5dcdae4be7a69
'Awarta,6875c003f3011fac4bec1b16,6875c003f3011fac4bec1b16
'Azmut,6875c01cf31ee47e94b2ca2f,6875c01cf31ee47e94b2ca2f
'Azzun,6875c00546e5fdeb85601692,6875c00546e5fdeb85601692
'Ein 'Arik,6875c00ccd76cf413e435b8c,6875c00ccd76cf413e435b8c
'Ein Qiniya,6875c00b0708ac560f361192,6875c00b0708ac560f361192
'Ein Shibli,6875bfff46e5fdeb856014cf,6875bfff46e5fdeb856014cf
'Ein Siniya,6875c01ef31ee47e94b2cbfb,6875c01ef31ee47e94b2cbfb
'Ein Yabrud,6875c00a37112defe0b5fa39,6875c00a37112defe0b5fa39
'Ein ad Duyuk al Foqa,6875c00d5d42d37241d28228,6875c00d5d42d37241d28228
'Ein as Sultan RC,6875c00d04a507fc7b448d8f,6875c00d04a507fc7b448d8f
'Illar,6875c0007389043c96b5ff35,6875c0007389043c96b5ff35
'Iraq Burin,6875c00261e9dc30f02d599b,6875c00261e9dc30f02d599b
'Irqan Turad,6875c01fef5f9223ad4b262e,6875c01fef5f9223ad4b262e
'Izbat Salman,6875c00646e5fdeb856016b3,6875c00646e5fdeb856016b3
'Izbat Salman,6875c0065d42d37241d27f29,6875c0065d42d37241d27f29
'Tuqu,6875c025bef5333665fa8b14,6875c025bef5333665fa8b14
'Urif,6875c003eaaf13e443d8b48a,6875c003eaaf13e443d8b48a
Abasan al-Kabira,687f03f812d6d7845a16cf46,687f03f812d6d7845a16cf46
Abasan al-Saghira,687f03d2b03db64fbddf0cea,687f03d2b03db64fbddf0cea
Abu Dis,6875c028e0f65a70656dabee,6875c028e0f65a70656dabee
Abu Falah,6875c02b69517854cce35ae8,6875c02b69517854cce35ae8
Abu Ghalyah,6875c02bb265f9fac1c34543,6875c02bb265f9fac1c34543
Abu Qash,6875c00ab12b50f584473af9,6875c00ab12b50f584473af9
Abu Shukheidim,6875c00a164002893fcbae3b,6875c00a164002893fcbae3b
Abu Suhweila,6875c0156f1622450066f51e,6875c0156f1622450066f51e
Abu Tur,6875c01f6ad391d59142a3c5,6875c01f6ad391d59142a3c5
Abu a-Nuwar,6875c02ab12b50f584474d0e,6875c02ab12b50f584474d0e
Abu al-'Asja,6875c016aa046612f795cdd8,6875c016aa046612f795cdd8
Abu al-'Urqan,6875c0160a2b30bfd53fc5f3,6875c0160a2b30bfd53fc5f3
Abu al-Ghuzlan,6875c0165c8b185ca5991519,6875c0165c8b185ca5991519
Abu al-Hilu,6875c02b90c314372b219e1d,6875c02b90c314372b219e1d
Ajjah,6875c01babcaecceb44685ed,6875c01babcaecceb44685ed
Al 'Ubeidiya,6875c00d19bcc90747001e70,6875c00d19bcc90747001e70
Al Am'ari RC,6875c00dcaf7140ccdd001b9,6875c00dcaf7140ccdd001b9
Al Baqar,6875c025164002893fcbb567,6875c025164002893fcbb567
Al Bireh,68419b8f0a70f4481f62128a,68419b8f0a70f4481f62128a
Al Bireh,6875c00d7bb05de07b5181f3,6875c00d7bb05de07b5181f3
Al Farisiyah,68419b8fe9af4b5ef717090b,68419b8fe9af4b5ef717090b
Al Lubban Al Gharbi,68419b8f07edc54984af086d,68419b8f07edc54984af086d
Al Muarrajat,68419b8fa2947ca7570977f3,68419b8fa2947ca7570977f3
Al Mughayyir,68419b8f02c98233603156cb,68419b8f02c98233603156cb
Al-Bayuk,687f06c9b863e5b0f69d2f10,687f06c9b863e5b0f69d2f10
Al-Fukhari,687f051b7a552f769e5f8b47,687f051b7a552f769e5f8b47
Al-Mawasi,687f0596a281bb53344f2233,687f0596a281bb53344f2233
Al-Mughraqa,687efff235e72a10a3359505,687efff235e72a10a3359505
Al-Musaddar,687f01217a552f769e5ec09d,687f01217a552f769e5ec09d
Al-Nasr,687f062c85d24bf060fc7b3a,687f062c85d24bf060fc7b3a
Al-Qarara,687f01c2b0f3015f446ea890,687f01c2b0f3015f446ea890
Al-Zahra,687eff9113826f932a3ce137,687eff9113826f932a3ce137
Al-‘Auja,68409197838e203cb6533f79,68409197838e203cb6533f79
Am Dhair,687f023888746d761ef6cc4c,687f023888746d761ef6cc4c
Ammuriyah,6875c01cabcaecceb446861d,6875c01cabcaecceb446861d
Anab al-Kabir,6875c01fe697f78651901d5f,6875c01fe697f78651901d5f
Anzah,6875bffd9c9eecc4326a8ef0,6875bffd9c9eecc4326a8ef0
Aqbat Jaber RC,6875c00d8a7e1f4d0de1c0b1,6875c00d8a7e1f4d0de1c0b1
Aqqabah,6875c01dba479c1062f41407,6875c01dba479c1062f41407
Aqraba,6875c02812e3adb15868365d,6875c02812e3adb15868365d
Arab Abu Fardah,6875c0201970984965c51c9f,6875c0201970984965c51c9f
Arab a-Ramadin a-Shamali,6875c0012d205435aa47c1e8,6875c0012d205435aa47c1e8
Arab a-Ramadin al-Janubi,6875c02836f16b274d9a331a,6875c02836f16b274d9a331a
Arab a-Rashayidah,6875c0127a39e79ed540c960,6875c0127a39e79ed540c960
Arab a-Suweitat,6875c01ba7c637eaa2e7334e,6875c01ba7c637eaa2e7334e
Arab al-Fureijat,6875c026ba479c1062f416e6,6875c026ba479c1062f416e6
Arab al-Hamdun,6875bffd37112defe0b5f5a6,6875bffd37112defe0b5f5a6
Arab al-Jahalin,6875c024b265f9fac1c3424b,6875c024b265f9fac1c3424b
Araba,6875c01beaaf13e443d8becf,6875c01beaaf13e443d8becf
Arabunah,6875c01bd8f36b3c83290f36,6875c01bd8f36b3c83290f36
Armenian Quarter,6875c028bef5333665fa8cc0,6875c028bef5333665fa8cc0
Asirah a-Shamaliyah,6875c01c6be396c7be3b0f61,6875c01c6be396c7be3b0f61
Askar R.C.,6875c002237aac6304cd7451,6875c002237aac6304cd7451
Aslah,6875c005f67a43d73d2d2499,6875c005f67a43d73d2d2499
At Tuwani,68419b8fb86b51c2365a0d54,68419b8fb86b51c2365a0d54
Atarah,6875c008f25e85a49c6de9f0,6875c008f25e85a49c6de9f0
Aydah R.C.,6875c0121323e724b884535d,6875c0121323e724b884535d
Az-Zawayda,687f0089fe579611b44ab58e,687f0089fe579611b44ab58e
Azzun 'Atmah,6875c0061970984965c513d8,6875c0061970984965c513d8
Bab a-Zahreh,6875c02035e42db992da23db,6875c02035e42db992da23db
Badu a-Mu'arrajat,6875c02467957aed6df4d704,6875c02467957aed6df4d704
Bal'a,6875c00001fcc3dbdd355d82,6875c00001fcc3dbdd355d82
Balata R.C.,6875c0020708ac560f360d73,6875c0020708ac560f360d73
Bani Na'im,6875c01867957aed6df4cd72,6875c01867957aed6df4cd72
Baqah a-Sharqiyah,6875c022aa046612f795d31d,6875c022aa046612f795d31d
Baqat al-Hatab,6875c00419bcc90747001be3,6875c00419bcc90747001be3
Bardalah,6875c01df127c6a93b5d6c45,6875c01df127c6a93b5d6c45
Barghasha,6875c0231970984965c51d5a,6875c0231970984965c51d5a
Barta'ah a-Sharqiyah,6875bffcf31ee47e94b2c13a,6875bffcf31ee47e94b2c13a
Battir,6875c01291e1e1f53d5b59d8,6875c01291e1e1f53d5b59d8
Battir,6875c013b265f9fac1c33d71,6875c013b265f9fac1c33d71
Bayt Jala,68419b8f99039b0667cff4c2,68419b8f99039b0667cff4c2
Beit 'Amra,6875c01ed335b95a8e448eac,6875c01ed335b95a8e448eac
Beit 'Anan,6875c00c957701899282bed8,6875c00c957701899282bed8
Beit 'Awwa,6875c014164002893fcbb018,6875c014164002893fcbb018
Beit 'Einun,6875c0114ff1e2b501929af1,6875c0114ff1e2b501929af1
Beit 'Ur a-Tahta,6875c00ccbb99d6acd3c85d1,6875c00ccbb99d6acd3c85d1
Beit 'Ur al-Fauqa,6875c00c7a39e79ed540c7a3,6875c00c7a39e79ed540c7a3
Beit Amin,6875c0065d42d37241d27efb,6875c0065d42d37241d27efb
Beit Dajan,6875c00337f53798522ffd03,6875c00337f53798522ffd03
Beit Duqu,6875c00cd335b95a8e4486af,6875c00cd335b95a8e4486af
Beit Fajjar,6875c01ea7c637eaa2e7349f,6875c01ea7c637eaa2e7349f
Beit Furik,68419b8faf62b9e61bf840e8,68419b8faf62b9e61bf840e8
Beit Furik,6875c01c8a7e1f4d0de1c5f8,6875c01c8a7e1f4d0de1c5f8
Beit Hanina,6875c020eda7a7b48770a9bb,6875c020eda7a7b48770a9bb
Beit Hanina al-Balad,6875c01987e51b141bdb5809,6875c01987e51b141bdb5809
Beit Hanoun,6875bff96be396c7be3affb1,6875bff96be396c7be3affb1
Beit Hasan,6875bfffbf43726ccadd396c,6875bfffbf43726ccadd396c
Beit Iba,6875c001165573e633412467,6875c001165573e633412467
Beit Ijza,6875c00dbedca23a5b2b226a,6875c00dbedca23a5b2b226a
Beit Iksa,6875c00d7bb05de07b51814b,6875c00d7bb05de07b51814b
Beit Imrin,6875c01b46e5fdeb85601c67,6875c01b46e5fdeb85601c67
Beit Jala,6875c012caf7140ccdd003f1,6875c012caf7140ccdd003f1
Beit Kahil,6875c01e296a0ebcd388e3bc,6875c01e296a0ebcd388e3bc
Beit Lahiya,6875bff87ed36ffe8d268560,6875bff87ed36ffe8d268560
Beit Lid,6875c004dc575df88e69b898,6875c004dc575df88e69b898
Beit Liqya,6875c00c296a0ebcd388da0c,6875c00c296a0ebcd388da0c
Beit Maqdum,6875c014165573e633412b7a,6875c014165573e633412b7a
Beit Mirsim,6875c01514bfa312b16766ff,6875c01514bfa312b16766ff
Beit Nuba,6875c00c37f53798522fffc1,6875c00c37f53798522fffc1
Beit Qad,6875bffa8a29ee65ca913292,6875bffa8a29ee65ca913292
Beit Rima,6875bffd12e3adb1586828a7,6875bffd12e3adb1586828a7
Beit Safafa,6875c0192f4ee75eaa328ebb,6875c0192f4ee75eaa328ebb
Beit Sahur,6875c019bf43726ccadd4133,6875c019bf43726ccadd4133
Beit Sira,6875c00cbedca23a5b2b21e0,6875c00cbedca23a5b2b21e0
Beit Surik,6875c00d19bcc90747001e38,6875c00d19bcc90747001e38
Beit Ta'mar,6875c01012e3adb158682fc9,6875c01012e3adb158682fc9
Beit Ula,6875c0139c9eecc4326a997e,6875c0139c9eecc4326a997e
Beit Ummar,6875c014cd58e8d04eac5990,6875c014cd58e8d04eac5990
Beit Wazan,6875c021f25e85a49c6df25d,6875c021f25e85a49c6df25d
Beit a-Rush a-Tahta,6875c0154ff1e2b501929c60,6875c0154ff1e2b501929c60
Beit a-Rush al-Foqa,6875c015f25e85a49c6dede0,6875c015f25e85a49c6dede0
Beita,6875c00487e51b141bdb509b,6875c00487e51b141bdb509b
Beitillu,6875c00b539f20466a3bbdfc,6875c00b539f20466a3bbdfc
Beitin,6875c00a46e5fdeb85601806,6875c00a46e5fdeb85601806
Beituniya,6875c00d8a29ee65ca913838,6875c00d8a29ee65ca913838
Bethlehem,6875c019f31ee47e94b2c992,6875c019f31ee47e94b2c992
Bidu,6875c00d87e51b141bdb5434,6875c00d87e51b141bdb5434
Bidya,6875c006cbb99d6acd3c8369,6875c006cbb99d6acd3c8369
Bil'in,6875c00c8a29ee65ca9137c4,6875c00c8a29ee65ca9137c4
Bir Musallam,6875c014abcaecceb446843f,6875c014abcaecceb446843f
Bir Nabala,6875c020f31ee47e94b2cc5e,6875c020f31ee47e94b2cc5e
Bir Zeit,6875c01db14376cff972da12,6875c01db14376cff972da12
Bir al-Basha,6875c01aaa046612f795cec8,6875c01aaa046612f795cec8
Bir al-Maskub,6875c02a0a2b30bfd53fcdd7,6875c02a0a2b30bfd53fcdd7
Bir al-Maskub,6875c02a6fcb88f036f7bc8a,6875c02a6fcb88f036f7bc8a
Birin,6875c01e296a0ebcd388e3c5,6875c01e296a0ebcd388e3c5
Birqin,6875bffb165573e63341226a,6875bffb165573e63341226a
Biyar al-'Arus,6875c0185afff353f2530d4a,6875c0185afff353f2530d4a
Bizzariya,6875c0004ff1e2b50192953a,6875c0004ff1e2b50192953a
Bruqin,6875c008296a0ebcd388d77d,6875c008296a0ebcd388d77d
Budrus,6875c00b87e51b141bdb53bf,6875c00b87e51b141bdb53bf
Bureid'ah,6875c00e61e9dc30f02d5cc0,6875c00e61e9dc30f02d5cc0
Burham,6875c00acaf7140ccdd0003f,6875c00acaf7140ccdd0003f
Burin,68419b8f3facb2a1a04b16df,68419b8f3facb2a1a04b16df
Burin,6875c0026bf8da1fa891b989,6875c0026bf8da1fa891b989
Burqah,6875bfff38bb2a9e795d15a6,6875bfff38bb2a9e795d15a6
Burqah,6875c00b91e1e1f53d5b5684,6875c00b91e1e1f53d5b5684
Christian Quarter,6875c02861e9dc30f02d655c,6875c02861e9dc30f02d655c
Dahiyat Sabah al-Kheir,6875c01ae0f65a70656da488,6875c01ae0f65a70656da488
Dahiyat al-Bareed,6875c02990c314372b219dc0,6875c02990c314372b219dc0
Dar Abu Basal,6875c0050708ac560f360e5a,6875c0050708ac560f360e5a
Dar Salah,6875c025cd76cf413e4362e4,6875c025cd76cf413e4362e4
Deir 'Ammar,6875c024164002893fcbb485,6875c024164002893fcbb485
Deir 'Ammar R.C.,6875c00b546f2654d193f2bd,6875c00b546f2654d193f2bd
Deir Abu Da'if,6875c01a237aac6304cd7c0c,6875c01a237aac6304cd7c0c
Deir Abu Mash'al,6875c00b296a0ebcd388d8cd,6875c00b296a0ebcd388d8cd
Deir Ballut,6875c0097a39e79ed540c658,6875c0097a39e79ed540c658
Deir Dobwan,6875c009d8f36b3c832905eb,6875c009d8f36b3c832905eb
Deir Ghassaneh,6875c029e697f78651902036,6875c029e697f78651902036
Deir Ghazala,6875bffacd76cf413e434d33,6875bffacd76cf413e434d33
Deir Hajla,6875c0219b754e81362bde5b,6875c0219b754e81362bde5b
Deir Ibzi',6875c00cba479c1062f40ec1,6875c00cba479c1062f40ec1
Deir Istiya,68419b8f3facb2a1a04b16dd,68419b8f3facb2a1a04b16dd
Deir Istiya,6875c0032f4ee75eaa3279a9,6875c0032f4ee75eaa3279a9
Deir Jarir,6875c009bf891e3aab105f6a,6875c009bf891e3aab105f6a
Deir Nidham,6875c024bedca23a5b2b290d,6875c024bedca23a5b2b290d
Deir Qadis,6875c01dbef5333665fa88a2,6875c01dbef5333665fa88a2
Deir Quruntul,6875c00835e42db992da0f5b,6875c00835e42db992da0f5b
Deir Razih,6875c027e0f65a70656daba8,6875c027e0f65a70656daba8
Deir Samit,6875c01eb8f3c00f703db167,6875c01eb8f3c00f703db167
Deir Sharaf,6875c001faf7802d747d96bd,6875c001faf7802d747d96bd
Deir a-Sudan,6875c008296a0ebcd388d7c3,6875c008296a0ebcd388d7c3
Deir al-'Asal al-Foqa,6875c0154da6359afbb7b528,6875c0154da6359afbb7b528
Deir al-Balah,6875bff837112defe0b5f4c8,6875bff837112defe0b5f4c8
Deir al-Balah R.C.,6875bff958b028993aaf002e,6875bff958b028993aaf002e
Deir al-Ghusun,6875c000caf7140ccdcffccd,6875c000caf7140ccdcffccd
Deir al-Hatab,6875c002ab3d339b225e36df,6875c002ab3d339b225e36df
Deir al-Qilt,6875c02201fcc3dbdd3567b4,6875c02201fcc3dbdd3567b4
Dhaher al-'Abed,6875c01bbef5333665fa882c,6875c01bbef5333665fa882c
Dhaher al-Malih,6875c02237f5379852300a6b,6875c02237f5379852300a6b
Dharat an Nada,6875c00eb265f9fac1c33c0e,6875c00eb265f9fac1c33c0e
Dhinnaba,6875c001df5eb5e758a32595,6875c001df5eb5e758a32595
Dier al-'Asal a-Tahta,6875c015faf7802d747d9f19,6875c015faf7802d747d9f19
Duma,6875c0076fcb88f036f79fd6,6875c0076fcb88f036f79fd6
Duma,6875c015164002893fcbb072,6875c015164002893fcbb072
Dura,6875c0275afff353f253119d,6875c0275afff353f253119d
Dura al-Qare',6875c00a61e9dc30f02d5b2f,6875c00a61e9dc30f02d5b2f
Ein Beit al-Maa R.C.,6875c02867957aed6df4d841,6875c02867957aed6df4d841
Ein Sakut,68409133f300df1b1c2a5ddf,68409133f300df1b1c2a5ddf
Ein Samia,6875c024f3011fac4bec282e,6875c024f3011fac4bec282e
Ein Yabrud,6875c00a9c9eecc4326a9450,6875c00a9c9eecc4326a9450
Ein a-Duyuk a-Tahta,6875c021b265f9fac1c341b8,6875c021b265f9fac1c341b8
Ein al-Beida,6875c01d58b028993aaf11e9,6875c01d58b028993aaf11e9
Einabus,6875c0035c8b185ca5990e18,6875c0035c8b185ca5990e18
Fahmah,6875c01b6be396c7be3b0f29,6875c01b6be396c7be3b0f29
Fahmah al-Jadidah,6875c000b265f9fac1c3381c,6875c000b265f9fac1c3381c
Fakht al-Jul,6875c00fc66a912b82838d20,6875c00fc66a912b82838d20
Falamyah,6875c005abcaecceb4468064,6875c005abcaecceb4468064
Faqqu'a,6875c01b9b1cc93bc43678bd,6875c01b9b1cc93bc43678bd
Far'ata,6875c00246e5fdeb85601635,6875c00246e5fdeb85601635
Far'on,6875c0014ff1e2b501929586,6875c0014ff1e2b501929586
Farkha,6875c008296a0ebcd388d798,6875c008296a0ebcd388d798
Fasayil,6875c0076be396c7be3b0938,6875c0076be396c7be3b0938
Fasayil,6875c029e0f65a70656dacf3,6875c029e0f65a70656dacf3
Fqeiqis,6875c014cd58e8d04eac59f8,6875c014cd58e8d04eac59f8
Furush Beit Dajan,6875c029b12b50f584474c90,6875c029b12b50f584474c90
Gaza City,6875bff8d335b95a8e447dad,6875bff8d335b95a8e447dad
Hablah,6875c006df5eb5e758a3273d,6875c006df5eb5e758a3273d
Hadab al-Fawwar,6875c0175d42d37241d28485,6875c0175d42d37241d28485
Hajjah,6875c0045d42d37241d27d8a,6875c0045d42d37241d27d8a
Halhul,6875c01e675edbad197c1aad,6875c01e675edbad197c1aad
Hamra,68419b8f0bfc2606f5df74e1,68419b8f0bfc2606f5df74e1
Hamrush,6875c00e37f537985230006c,6875c00e37f537985230006c
Haribat a-Nabi,6875c01046e5fdeb856019b2,6875c01046e5fdeb856019b2
Haribat a-Nabi,6875c026c66a912b82839be6,6875c026c66a912b82839be6
Haris,6875c00369517854cce35069,6875c00369517854cce35069
Harmalah,6875c01aabcaecceb446856f,6875c01aabcaecceb446856f
Hebron,6875c001957701899282bca2,6875c001957701899282bca2
Hindaza,6875c01025c6548282691ded,6875c01025c6548282691ded
Hitta,6875c013dd9489e7cab7989a,6875c013dd9489e7cab7989a
Hizma,6875c01904a507fc7b44924e,6875c01904a507fc7b44924e
Huraiz,6875c01e1970984965c51bf5,6875c01e1970984965c51bf5
Husan,6875c013ab3d339b225e3d9a,6875c013ab3d339b225e3d9a
Huwarah,6875c00325c65482826918fd,6875c00325c65482826918fd
I'zeiz,6875c0186f1622450066f646,6875c0186f1622450066f646
Idhna,6875c014abcaecceb4468459,6875c014abcaecceb4468459
Ijnisinya,6875bffebf891e3aab105b2e,6875bffebf891e3aab105b2e
Iktaba,6875c000d335b95a8e4482b1,6875c000d335b95a8e4482b1
Immatin,6875c002f67a43d73d2d2390,6875c002f67a43d73d2d2390
